n,policy,step_ms_mean,step_ms_p95,alloc_ms_mean,evals_mean,fill_mean,budget_met_frac,kl_max_end,restorations,beh0,beh1,beh2,beh3
200,Baseline,0.0887553,0.12207,0,0,0,1,2.78909,0,13,65,121,1
200,Parity,1.38296,1.58691,1.25631,16.9375,0.633333,1,2.9134,65,73,0,0,127
500,Baseline,0.267537,0.366211,0,0,0,1,5.60091,0,21,172,306,1
500,Parity,1.85064,2.19727,1.48239,16.1958,0.95,1,3.09899,170,181,0,0,319
1000,Baseline,0.631968,0.854492,0,0,0,1,11.1764,0,44,327,624,5
1000,Parity,3.45052,4.02832,2.59043,15.95,1.43333,1,3.84417,495,363,0,0,637
2000,Baseline,1.58335,1.95313,0,0,0,1,16.9308,0,80,400,1200,320
2000,Parity,6.24466,6.83594,4.0446,15.7833,2.67917,1,3.96538,1940,736,0,0,1264
4000,Baseline,4.26966,4.69971,0,0,0,1,17.148,0,80,400,1200,2320
4000,Parity,14.3552,16.6626,7.75579,15.5708,5.14167,1,3.9647,7085,1473,6,0,2521
8000,Baseline,12.4667,13.1836,0,0,0,1,17.148,0,80,400,1200,6320
8000,Parity,31.2515,32.8369,13.0618,15.5958,6.72917,1,3.94941,8567,2953,5,0,5042
